Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ResellerAccount-PAOpp-ResellerContract-SystemAdmin,Chrome 116.0.0.0,,,2023-09-13 18:17:59,2023-09-13 18:21:04,3m - 4.439s,FAILED
,,,,,,,
Test Cases/LogintoSalesforce-Admin,Chrome 116.0.0.0,This testcase is to successfully login to salesforce using scripts.,,2023-09-13 18:18:00,2023-09-13 18:18:30,30.038s,PASSED
openBrowser(LoginURL),Chrome 116.0.0.0,,,2023-09-13 18:18:00,2023-09-13 18:18:12,11.732s,PASSED
maximizeWindow(),Chrome 116.0.0.0,,,2023-09-13 18:18:12,2023-09-13 18:18:12,0.204s,PASSED
"setText(findTestObject(""LoginPage/Username""), UserName)",Chrome 116.0.0.0,,,2023-09-13 18:18:12,2023-09-13 18:18:14,1.719s,PASSED
"setText(findTestObject(""LoginPage/Password""), Password)",Chrome 116.0.0.0,,,2023-09-13 18:18:14,2023-09-13 18:18:15,1.035s,PASSED
"click(findTestObject(""LoginPage/LoginButton""))",Chrome 116.0.0.0,,,2023-09-13 18:18:15,2023-09-13 18:18:30,14.795s,PASSED
,,,,,,,
Test Cases/CreatingResellerAccount-VIPRE-Admin,Chrome 116.0.0.0,,,2023-09-13 18:18:30,2023-09-13 18:19:09,39.612s,PASSED
sleep(5000),Chrome 116.0.0.0,,,2023-09-13 18:18:31,2023-09-13 18:18:36,5.003s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/AccountCreationPage/VIPRESalesElement""), 30)",Chrome 116.0.0.0,,,2023-09-13 18:18:36,2023-09-13 18:18:36,0.473s,PASSED
"vipreQA.ClickUsingJS.ClickNewObj(findTestObject(""Object Repository/AccountObject/AccountsTab""), 30)",Chrome 116.0.0.0,,,2023-09-13 18:18:36,2023-09-13 18:18:37,0.813s,PASSED
"vipreQA.ClickUsingJS.ClickNewObj(findTestObject(""Object Repository/AccountObject/NewButtononAccount""), 30)",Chrome 116.0.0.0,,,2023-09-13 18:18:37,2023-09-13 18:18:40,2.821s,PASSED
"click(findTestObject(""Object Repository/AccountRecordTypes/Reseller""))",Chrome 116.0.0.0,,,2023-09-13 18:18:40,2023-09-13 18:18:41,1.148s,PASSED
"click(findTestObject(""Object Repository/AccountRecordTypes/NextButton""))",Chrome 116.0.0.0,,,2023-09-13 18:18:41,2023-09-13 18:18:42,1.083s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/AccountRecordTypes/ResellerTextVerify""), 20, STOP_ON_FAILURE)",Chrome 116.0.0.0,,,2023-09-13 18:18:42,2023-09-13 18:18:46,3.923s,PASSED
"sendKeys(findTestObject(""AccountCreationPage/AccountName""), AccountName_Reseller_VIPRE)",Chrome 116.0.0.0,,,2023-09-13 18:18:46,2023-09-13 18:18:47,1.472s,PASSED
"scrollToElement(findTestObject(""Object Repository/AccountCreationPage/AccountCurrencyLabel""), 20)",Chrome 116.0.0.0,,,2023-09-13 18:18:47,2023-09-13 18:18:48,0.551s,PASSED
"scrollToElement(findTestObject(""Object Repository/AccountCreationPage/BillingCountryLabel""), 20)",Chrome 116.0.0.0,,,2023-09-13 18:18:48,2023-09-13 18:18:48,0.482s,PASSED
"click(findTestObject(""Object Repository/AccountCreationPage/BillingCountryNone""))",Chrome 116.0.0.0,,,2023-09-13 18:18:49,2023-09-13 18:18:49,0.810s,PASSED
"click(findTestObject(""Object Repository/AccountCreationPage/BillingCountryBahrain""))",Chrome 116.0.0.0,,,2023-09-13 18:18:49,2023-09-13 18:18:50,0.687s,PASSED
"setText(findTestObject(""AccountCreationPage/BillingStreet""), BillingStreet)",Chrome 116.0.0.0,,,2023-09-13 18:18:50,2023-09-13 18:18:52,1.588s,PASSED
