Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ResellerAccount-PAOpp-PartnerQuote-VIPRE-User,Chrome 116.0.0.0,,,2023-09-20 11:22:22,2023-09-20 11:27:05,4m - 42.524s,FAILED
,,,,,,,
Test Cases/LoginasVIPREUser,Chrome 116.0.0.0,,,2023-09-20 11:22:23,2023-09-20 11:23:13,50.222s,PASSED
"callTestCase(findTestCase(""Test Cases/LogintoSalesforce-Admin""), null)",Chrome 116.0.0.0,,,2023-09-20 11:22:23,2023-09-20 11:22:40,17.565s,PASSED
"click(findTestObject(""Object Repository/UserLogin/SetUp""))",Chrome 116.0.0.0,,,2023-09-20 11:22:40,2023-09-20 11:22:44,3.533s,PASSED
sleep(5000),Chrome 116.0.0.0,,,2023-09-20 11:22:44,2023-09-20 11:22:49,5.016s,PASSED
"click(findTestObject(""Object Repository/UserLogin/SetUpforCurrentApp""))",Chrome 116.0.0.0,,,2023-09-20 11:22:49,2023-09-20 11:22:49,0.451s,PASSED
sleep(5000),Chrome 116.0.0.0,,,2023-09-20 11:22:49,2023-09-20 11:22:54,5.002s,PASSED
switchToWindowIndex(1),Chrome 116.0.0.0,,,2023-09-20 11:22:54,2023-09-20 11:22:54,0.039s,PASSED
"setText(findTestObject(""Object Repository/UserLogin/SearchSetUp""), LoginUserNameVIPRE)",Chrome 116.0.0.0,,,2023-09-20 11:22:54,2023-09-20 11:22:56,1.721s,PASSED
sleep(5000),Chrome 116.0.0.0,,,2023-09-20 11:22:56,2023-09-20 11:23:01,5.004s,PASSED
"vipreQA.ClickUsingJS.ClickNewObj(findTestObject(""Object Repository/UserLogin/SelectSearchUser"", [""value"":LoginUserNameVIPRE]), 20)",Chrome 116.0.0.0,,,2023-09-20 11:23:01,2023-09-20 11:23:02,0.494s,PASSED
sleep(5000),Chrome 116.0.0.0,,,2023-09-20 11:23:02,2023-09-20 11:23:07,5.002s,PASSED
"switchToFrame(findTestObject(""Object Repository/UserLogin/UserIFrame""), 20)",Chrome 116.0.0.0,,,2023-09-20 11:23:07,2023-09-20 11:23:07,0.668s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/UserLogin/IsActiveChecked""), 20)",Chrome 116.0.0.0,,,2023-09-20 11:23:07,2023-09-20 11:23:07,0.132s,PASSED
"vipreQA.ClickUsingJS.ClickNewObj(findTestObject(""Object Repository/UserLogin/LoginButton""), 20)",Chrome 116.0.0.0,,,2023-09-20 11:23:07,2023-09-20 11:23:08,0.299s,PASSED
sleep(5000),Chrome 116.0.0.0,,,2023-09-20 11:23:08,2023-09-20 11:23:13,5.016s,PASSED
,,,,,,,
Test Cases/CreatingResellerAccount-User-VIPRE,Chrome 116.0.0.0,,,2023-09-20 11:23:13,2023-09-20 11:23:43,30.601s,PASSED
sleep(5000),Chrome 116.0.0.0,,,2023-09-20 11:23:13,2023-09-20 11:23:18,5.012s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/AccountCreationPage/VIPRESalesElement""), 30)",Chrome 116.0.0.0,,,2023-09-20 11:23:18,2023-09-20 11:23:19,0.382s,PASSED
"vipreQA.ClickUsingJS.ClickNewObj(findTestObject(""Object Repository/AccountObject/AccountsTab""), 30)",Chrome 116.0.0.0,,,2023-09-20 11:23:19,2023-09-20 11:23:19,0.757s,PASSED
"vipreQA.ClickUsingJS.ClickNewObj(findTestObject(""Object Repository/AccountObject/NewButtononAccount""), 30)",Chrome 116.0.0.0,,,2023-09-20 11:23:19,2023-09-20 11:23:21,1.871s,PASSED
